client_id,SUM(l.amount),SUM(payments),saldo_konta
12376,233424,6484.00,226940.00
6922,232560,4845.00,227715.00
6946,232560,4845.00,227715.00
12416,231696,6436.00,225260.00
3257,231168,4816.00,226352.00
458,230400,3840.00,226560.00
2739,230220,6395.00,223825.00
11709,228276,6341.00,221935.00
11063,227880,6330.00,221550.00
11683,225504,4698.00,220806.00
6798,225420,3757.00,221663.00
10198,224604,6239.00,218365.00
6749,221880,3698.00,218182.00
5318,221280,4610.00,216670.00
10389,220620,3677.00,216943.00
9546,220440,3674.00,216766.00
9997,220428,6123.00,214305.00
5774,219456,4572.00,214884.00
12328,218064,4543.00,213521.00
13576,217152,6032.00,211120.00
11304,215040,3584.00,211456.00
2522,214596,5961.00,208635.00
13640,213300,3555.00,209745.00
5860,213300,5925.00,207375.00
4993,212976,5916.00,207060.00
7914,212400,5900.00,206500.00
12308,210744,5854.00,204890.00
631,210384,4383.00,206001.00
6616,209184,4358.00,204826.00
2277,209040,8710.00,200330.00
13090,208332,5787.00,202545.00
9945,208320,4340.00,203980.00
4132,207264,4318.00,202946.00
2403,205200,5700.00,199500.00
5727,204780,3413.00,201367.00
1215,204000,3400.00,200600.00
8661,203940,3399.00,200541.00
6473,202848,4226.00,198622.00
2148,202788,5633.00,197155.00
2966,200976,4187.00,196789.00
2834,199680,3328.00,196352.00
13071,198240,8260.00,189980.00
13134,197808,8242.00,189566.00
13447,197748,5493.00,192255.00
13095,196224,4088.00,192136.00
9611,196080,4085.00,191995.00
12325,194940,5415.00,189525.00
8359,194880,4060.00,190820.00
12802,194280,3238.00,191042.00
1913,194256,8094.00,186162.00
8548,194160,4045.00,190115.00
6349,193968,5388.00,188580.00
5364,192744,5354.00,187390.00
5366,192744,5354.00,187390.00
9417,191880,3198.00,188682.00
11362,191580,3193.00,188387.00
1852,191088,3981.00,187107.00
2008,189792,3954.00,185838.00
9663,189696,7904.00,181792.00
11195,189300,3155.00,186145.00
1157,189060,3151.00,185909.00
11685,188688,3931.00,184757.00
11516,188616,7859.00,180757.00
1208,188532,5237.00,183295.00
1020,187104,7796.00,179308.00
11093,186384,3883.00,182501.00
11004,186300,3105.00,183195.00
2700,185952,3874.00,182078.00
10654,185640,3094.00,182546.00
1594,185544,5154.00,180390.00
7150,184620,3077.00,181543.00
1509,182640,3805.00,178835.00
13687,182628,5073.00,177555.00
2686,182040,3034.00,179006.00
7723,181020,3017.00,178003.00
6015,179328,3736.00,175592.00
1051,178500,2975.00,175525.00
7065,177804,4939.00,172865.00
6764,177504,3698.00,173806.00
2470,176328,4898.00,171430.00
11873,176148,4893.00,171255.00
4299,174960,7290.00,167670.00
4291,174840,2914.00,171926.00
10528,174048,3626.00,170422.00
6317,173808,7242.00,166566.00
10543,173016,4806.00,168210.00
2083,172272,7178.00,165094.00
11208,172080,3585.00,168495.00
6383,170832,3559.00,167273.00
10746,170700,2845.00,167855.00
9450,170448,3551.00,166897.00
2623,170256,7094.00,163162.00
5699,168264,4674.00,163590.00
12396,167100,2785.00,164315.00
2181,165960,4610.00,161350.00
78,165960,6915.00,159045.00
1816,165780,2763.00,163017.00
6039,165168,4588.00,160580.00
3013,165120,2752.00,162368.00
11359,164256,3422.00,160834.00
5171,164196,4561.00,159635.00
11271,163332,4537.00,158795.00
5642,162624,3388.00,159236.00
132,162576,4516.00,158060.00
2288,162468,4513.00,157955.00
4352,161496,4486.00,157010.00
333,160920,4470.00,156450.00
9880,160656,6694.00,153962.00
2841,159744,3328.00,156416.00
4916,158976,3312.00,155664.00
4377,158760,2646.00,156114.00
6511,158184,4394.00,153790.00
11768,157068,4363.00,152705.00
2853,156672,4352.00,152320.00
3294,156420,2607.00,153813.00
939,156096,4336.00,151760.00
10040,155880,6495.00,149385.00
13820,155760,6490.00,149270.00
8670,155640,6485.00,149155.00
3649,155616,3242.00,152374.00
11121,155616,3242.00,152374.00
13190,154656,3222.00,151434.00
13490,154416,3217.00,151199.00
4672,153936,6414.00,147522.00
9370,153504,3198.00,150306.00
9760,153144,4254.00,148890.00
13417,152460,2541.00,149919.00
8737,152160,2536.00,149624.00
12843,151560,6315.00,145245.00
4956,151200,4200.00,147000.00
7796,150912,4192.00,146720.00
6001,150180,2503.00,147677.00
6499,149340,2489.00,146851.00
1404,149040,3105.00,145935.00
13590,148920,2482.00,146438.00
1511,148140,4115.00,144025.00
4055,146064,6086.00,139978.00
9872,144960,3020.00,141940.00
5965,143904,5996.00,137908.00
2205,143676,3991.00,139685.00
2063,141948,3943.00,138005.00
5858,141648,5902.00,135746.00
7195,141240,5885.00,135355.00
6729,140880,2348.00,138532.00
4182,140688,2931.00,137757.00
13290,140688,2931.00,137757.00
9933,140400,3900.00,136500.00
9569,140064,5836.00,134228.00
11886,139536,5814.00,133722.00
8356,139488,5812.00,133676.00
12468,136368,5682.00,130686.00
3163,136344,5681.00,130663.00
5433,135360,2820.00,132540.00
10269,134784,5616.00,129168.00
12050,133968,2791.00,131177.00
4712,133848,5577.00,128271.00
12908,133800,5575.00,128225.00
13412,131292,3647.00,127645.00
3800,130896,5454.00,125442.00
9403,130464,2718.00,127746.00
13971,129408,5392.00,124016.00
1499,128544,5356.00,123188.00
9914,128268,3563.00,124705.00
8089,127200,2650.00,124550.00
11314,127080,2118.00,124962.00
12095,126600,5275.00,121325.00
1681,125472,5228.00,120244.00
1705,125472,5228.00,120244.00
10963,125340,2089.00,123251.00
8276,124344,3454.00,120890.00
352,123696,2577.00,121119.00
7010,123600,2060.00,121540.00
12810,123408,5142.00,118266.00
1793,123300,3425.00,119875.00
3763,123216,2567.00,120649.00
11329,122472,5103.00,117369.00
12432,121896,5079.00,116817.00
11574,120888,3358.00,117530.00
13608,119136,2482.00,116654.00
6366,117420,1957.00,115463.00
5911,117024,4876.00,112148.00
11686,116832,9736.00,107096.00
8074,116496,4854.00,111642.00
11976,116040,1934.00,114106.00
13201,115992,3222.00,112770.00
13480,115812,3217.00,112595.00
11978,113796,3161.00,110635.00
13380,113544,3154.00,110390.00
12599,113436,3151.00,110285.00
370,112752,3132.00,109620.00
3335,111384,4641.00,106743.00
46,110736,2307.00,108429.00
9217,110736,2307.00,108429.00
7765,110136,4589.00,105547.00
6042,110112,4588.00,105524.00
272,109344,9112.00,100232.00
1197,108720,1812.00,106908.00
13657,108144,3004.00,105140.00
5701,107640,4485.00,103155.00
4754,107352,2982.00,104370.00
5618,106944,4456.00,102488.00
4882,106128,2948.00,103180.00
2235,105804,2939.00,102865.00
7843,104964,8747.00,96217.00
210,104808,8734.00,96074.00
11794,104712,4363.00,100349.00
11804,104712,4363.00,100349.00
116,102876,8573.00,94303.00
810,102240,1704.00,100536.00
2550,101520,8460.00,93060.00
421,100980,1683.00,99297.00
8030,100260,1671.00,98589.00
5232,100128,4172.00,95956.00
1755,100080,2085.00,97995.00
11545,99936,4164.00,95772.00
8666,99744,4156.00,95588.00
2831,99336,4139.00,95197.00
10023,99300,1655.00,97645.00
6892,99216,2756.00,96460.00
5928,98832,2059.00,96773.00
6829,98592,4108.00,94484.00
13620,98304,8192.00,90112.00
1216,98184,4091.00,94093.00
10090,97980,1633.00,96347.00
12102,97632,8136.00,89496.00
9775,97392,8116.00,89276.00
5320,97224,4051.00,93173.00
5684,97176,4049.00,93127.00
4722,96984,2694.00,94290.00
8432,96768,2688.00,94080.00
12079,96168,8014.00,88154.00
2922,95808,7984.00,87824.00
8091,95400,2650.00,92750.00
9505,94488,3937.00,90551.00
5395,93960,1566.00,92394.00
3264,93888,2608.00,91280.00
3284,93888,2608.00,91280.00
9930,93600,3900.00,89700.00
10517,93036,7753.00,85283.00
2698,92976,3874.00,89102.00
2560,92400,7700.00,84700.00
3251,91632,7636.00,83996.00
12358,91632,7636.00,83996.00
9702,91584,3816.00,87768.00
376,91248,1901.00,89347.00
9273,91200,3800.00,87400.00
655,91152,3798.00,87354.00
6422,90180,2505.00,87675.00
5253,90156,7513.00,82643.00
13690,89880,3745.00,86135.00
3113,89340,1489.00,87851.00
12220,89340,1489.00,87851.00
13803,89280,7440.00,81840.00
10275,89040,1484.00,87556.00
12738,88704,1848.00,86856.00
3608,88608,7384.00,81224.00
158,88440,7370.00,81070.00
10813,88272,1839.00,86433.00
11906,88200,2450.00,85750.00
10200,87840,3660.00,84180.00
5337,87816,7318.00,80498.00
5579,87528,3647.00,83881.00
7567,87360,3640.00,83720.00
7576,87360,3640.00,83720.00
1029,87216,1817.00,85399.00
12750,86880,7240.00,79640.00
11372,86616,7218.00,79398.00
5389,86184,2394.00,83790.00
2501,86184,7182.00,79002.00
11596,86184,7182.00,79002.00
10479,85860,1431.00,84429.00
10702,85716,2381.00,83335.00
7594,85632,1784.00,83848.00
530,84288,1756.00,82532.00
4861,84288,1756.00,82532.00
9798,84120,3505.00,80615.00
2503,83628,2323.00,81305.00
11598,83628,2323.00,81305.00
11371,83280,1735.00,81545.00
6789,83016,6918.00,76098.00
3687,82896,6908.00,75988.00
11337,82128,3422.00,78706.00
5468,81144,2254.00,78890.00
2,80952,3373.00,77579.00
9173,80952,3373.00,77579.00
10095,80340,6695.00,73645.00
7672,79920,1332.00,78588.00
6275,79824,6652.00,73172.00
5133,79632,3318.00,76314.00
6367,79608,3317.00,76291.00
9755,79344,1653.00,77691.00
1944,78936,6578.00,72358.00
7186,78720,1640.00,77080.00
6571,78696,2186.00,76510.00
2621,78600,3275.00,75325.00
12382,77808,6484.00,71324.00
9915,77640,6470.00,71170.00
9582,77544,2154.00,75390.00
3907,77184,2144.00,75040.00
7862,76992,3208.00,73784.00
861,76944,6412.00,70532.00
10563,76680,3195.00,73485.00
11866,76416,3184.00,73232.00
4520,76380,6365.00,70015.00
10987,76104,3171.00,72933.00
5873,76080,6340.00,69740.00
4656,74916,2081.00,72835.00
1533,74772,2077.00,72695.00
10043,74736,2076.00,72660.00
10510,74688,6224.00,68464.00
10828,74352,3098.00,71254.00
8615,74124,2059.00,72065.00
5322,74040,6170.00,67870.00
5333,73836,2051.00,71785.00
8764,73260,1221.00,72039.00
944,73056,1522.00,71534.00
2721,72504,3021.00,69483.00
9717,72120,6010.00,66110.00
4114,71820,1995.00,69825.00
2592,71460,1985.00,69475.00
9844,71460,5955.00,65505.00
1516,71064,1974.00,69090.00
11114,70656,1472.00,69184.00
3291,69624,1934.00,67690.00
11274,69600,1450.00,68150.00
13603,69360,1445.00,67915.00
13231,68832,1912.00,66920.00
4169,68664,2861.00,65803.00
4529,68544,2856.00,65688.00
6469,68340,1139.00,67201.00
3929,68124,5677.00,62447.00
9715,68112,5676.00,62436.00
10714,67980,5665.00,62315.00
7411,67608,2817.00,64791.00
4177,67464,5622.00,61842.00
13285,67464,5622.00,61842.00
13852,67320,1870.00,65450.00
383,66840,2785.00,64055.00
5563,66696,2779.00,63917.00
3324,66432,2768.00,63664.00
7127,65184,5432.00,59752.00
8096,64860,1081.00,63779.00
5526,64656,1347.00,63309.00
1985,64224,2676.00,61548.00
4768,63576,5298.00,58278.00
8677,63360,1056.00,62304.00
9236,63312,1319.00,61993.00
4584,63252,5271.00,57981.00
2606,61560,5130.00,56430.00
5487,61320,1022.00,60298.00
7241,61056,1272.00,59784.00
12844,60000,1000.00,59000.00
7422,59760,2490.00,57270.00
11855,59448,2477.00,56971.00
5801,59136,1232.00,57904.00
6255,58764,4897.00,53867.00
13405,57120,1190.00,55930.00
6196,57060,4755.00,52305.00
9995,56100,935.00,55165.00
2342,55632,2318.00,53314.00
9226,55368,2307.00,53061.00
12840,54396,1511.00,52885.00
13968,54024,4502.00,49522.00
2647,53472,4456.00,49016.00
6175,53232,1109.00,52123.00
992,53076,4423.00,48653.00
13845,52788,4399.00,48389.00
1554,52512,4376.00,48136.00
11266,52236,1451.00,50785.00
11497,52128,2172.00,49956.00
9593,51696,2154.00,49542.00
5224,51408,2142.00,49266.00
1300,50976,1416.00,49560.00
3414,50460,841.00,49619.00
11123,50112,2088.00,48024.00
8667,49872,4156.00,45716.00
8636,49488,2062.00,47426.00
2843,49440,824.00,48616.00
8333,49320,1370.00,47950.00
8777,49044,4087.00,44957.00
3616,48744,1354.00,47390.00
8610,48672,1352.00,47320.00
980,48624,2026.00,46598.00
2822,48312,2013.00,46299.00
13556,48096,2004.00,46092.00
10636,47304,1971.00,45333.00
8598,47016,3918.00,43098.00
2809,46320,1930.00,44390.00
11754,46176,962.00,45214.00
13260,45768,3814.00,41954.00
13261,45768,3814.00,41954.00
13098,45720,3810.00,41910.00
9555,45456,3788.00,41668.00
1663,45336,1889.00,43447.00
11050,45024,938.00,44086.00
2316,44952,1873.00,43079.00
13694,44940,3745.00,41195.00
2514,44640,1860.00,42780.00
11609,44640,1860.00,42780.00
6731,44628,3719.00,40909.00
6753,44376,3698.00,40678.00
12561,44304,1846.00,42458.00
4217,44088,1837.00,42251.00
2153,43200,1800.00,41400.00
7814,43164,3597.00,39567.00
9833,42900,3575.00,39325.00
10492,42840,3570.00,39270.00
426,42816,3568.00,39248.00
9456,42384,3532.00,38852.00
5143,41988,3499.00,38489.00
9346,41952,3496.00,38456.00
11461,41904,3492.00,38412.00
4937,41856,872.00,40984.00
3601,41256,3438.00,37818.00
4099,40632,3386.00,37246.00
11405,39576,3298.00,36278.00
11409,39576,3298.00,36278.00
13923,39168,1632.00,37536.00
3906,39024,3252.00,35772.00
2451,38520,3210.00,35310.00
7855,38496,3208.00,35288.00
11126,38148,3179.00,34969.00
2267,37944,1054.00,36890.00
8130,37908,3159.00,34749.00
12616,37812,3151.00,34661.00
7753,36684,3057.00,33627.00
11662,36396,3033.00,33363.00
12181,36168,3014.00,33154.00
1501,35904,748.00,35156.00
9929,35856,1494.00,34362.00
7772,34572,2881.00,31691.00
10818,33984,708.00,33276.00
5574,33348,2779.00,30569.00
10777,33144,2762.00,30382.00
6691,32640,680.00,31960.00
9418,31728,1322.00,30406.00
11911,31620,527.00,31093.00
12729,31260,2605.00,28655.00
3576,31248,2604.00,28644.00
6987,31176,1299.00,29877.00
13276,31140,519.00,30621.00
31,30276,2523.00,27753.00
9202,30276,2523.00,27753.00
2141,30060,501.00,29559.00
3822,30012,2501.00,27511.00
10076,29784,1241.00,28543.00
7286,28248,1177.00,27071.00
9606,27984,2332.00,25652.00
215,27456,2288.00,25168.00
7366,26208,728.00,25480.00
8366,25944,1081.00,24863.00
3606,24792,1033.00,23759.00
3001,24516,2043.00,22473.00
976,24312,2026.00,22286.00
13172,24180,403.00,23777.00
4428,23628,1969.00,21659.00
1608,23520,1960.00,21560.00
12850,23412,1951.00,21461.00
2590,23328,1944.00,21384.00
11381,23184,1932.00,21252.00
4620,23052,1921.00,21131.00
8076,22968,638.00,22330.00
2581,22932,637.00,22295.00
6235,22356,621.00,21735.00
1130,22260,371.00,21889.00
12485,22104,1842.00,20262.00
12754,21924,609.00,21315.00
9721,21852,607.00,21245.00
5826,21396,1783.00,19613.00
10459,21072,878.00,20194.00
9670,20832,434.00,20398.00
6185,20352,424.00,19928.00
5521,20220,1685.00,18535.00
2746,20196,561.00,19635.00
4024,19248,1604.00,17644.00
12303,19044,529.00,18515.00
13468,18720,312.00,18408.00
4527,18564,1547.00,17017.00
11713,18324,1527.00,16797.00
2915,17952,1496.00,16456.00
7683,17508,1459.00,16049.00
8200,17184,1432.00,15752.00
11252,16032,334.00,15698.00
3705,15420,1285.00,14135.00
5399,15192,633.00,14559.00
6301,14628,1219.00,13409.00
4386,14028,1169.00,12859.00
9362,12792,1066.00,11726.00
798,12540,1045.00,11495.00
7299,11736,489.00,11247.00
6077,11400,950.00,10450.00
7787,10944,304.00,10640.00
10209,8616,359.00,8257.00
10287,7656,319.00,7337.00
7324,5148,429.00,4719.00
4056,4980,415.00,4565.00
