account_id,loan_count,loan_sum,avg_loan
10005,1,210744,210744.0000
525,1,210384,210384.0000
5481,1,209184,209184.0000
1876,1,209040,209040.0000
10645,1,208332,208332.0000
8051,1,208320,208320.0000
3418,1,207264,207264.0000
1978,1,205200,205200.0000
4746,1,204780,204780.0000
1011,1,204000,204000.0000
7176,1,203940,203940.0000
5362,1,202848,202848.0000
1772,1,202788,202788.0000
2456,1,200976,200976.0000
2345,1,199680,199680.0000
10630,1,198240,198240.0000
10679,1,197808,197808.0000
10940,1,197748,197748.0000
10650,1,196224,196224.0000
7769,1,196080,196080.0000
10019,1,194940,194940.0000
6924,1,194880,194880.0000
10404,1,194280,194280.0000
1580,1,194256,194256.0000
7082,1,194160,194160.0000
5256,1,193968,193968.0000
4447,1,192744,192744.0000
4448,1,192744,192744.0000
7606,1,191880,191880.0000
9227,1,191580,191580.0000
1528,1,191088,191088.0000
1656,1,189792,189792.0000
7815,1,189696,189696.0000
9093,1,189300,189300.0000
960,1,189060,189060.0000
9493,1,188688,188688.0000
9353,1,188616,188616.0000
1004,1,188532,188532.0000
846,1,187104,187104.0000
9006,1,186384,186384.0000
8931,1,186300,186300.0000
2228,1,185952,185952.0000
8639,1,185640,185640.0000
1318,1,185544,185544.0000
5912,1,184620,184620.0000
1250,1,182640,182640.0000
11135,1,182628,182628.0000
2218,1,182040,182040.0000
6397,1,181020,181020.0000
4981,1,179328,179328.0000
873,1,178500,178500.0000
5837,1,177804,177804.0000
5602,1,177504,177504.0000
2035,1,176328,176328.0000
9645,1,176148,176148.0000
3562,1,174960,174960.0000
3556,1,174840,174840.0000
8533,1,174048,174048.0000
5228,1,173808,173808.0000
8547,1,173016,173016.0000
1718,1,172272,172272.0000
9104,1,172080,172080.0000
5283,1,170832,170832.0000
8713,1,170700,170700.0000
7632,1,170448,170448.0000
2167,1,170256,170256.0000
4725,1,168264,168264.0000
10079,1,167100,167100.0000
67,1,165960,165960.0000
1801,1,165960,165960.0000
1498,1,165780,165780.0000
4999,1,165168,165168.0000
2496,1,165120,165120.0000
9225,1,164256,164256.0000
4293,1,164196,164196.0000
9156,1,163332,163332.0000
4681,1,162624,162624.0000
110,1,162576,162576.0000
1886,1,162468,162468.0000
3608,1,161496,161496.0000
276,1,160920,160920.0000
7997,1,160656,160656.0000
2350,1,159744,159744.0000
4079,1,158976,158976.0000
3629,1,158760,158760.0000
5395,1,158184,158184.0000
9560,1,157068,157068.0000
2361,1,156672,156672.0000
2728,1,156420,156420.0000
785,1,156096,156096.0000
8127,1,155880,155880.0000
11244,1,155760,155760.0000
7184,1,155640,155640.0000
3021,1,155616,155616.0000
9030,1,155616,155616.0000
10728,1,154656,154656.0000
10973,1,154416,154416.0000
3875,1,153936,153936.0000
7565,1,153504,153504.0000
7894,1,153144,153144.0000
10915,1,152460,152460.0000
7240,1,152160,152160.0000
10439,1,151560,151560.0000
4116,1,151200,151200.0000
6461,1,150912,150912.0000
4969,1,150180,150180.0000
5385,1,149340,149340.0000
1166,1,149040,149040.0000
11054,1,148920,148920.0000
1252,1,148140,148140.0000
3353,1,146064,146064.0000
7990,1,144960,144960.0000
4937,1,143904,143904.0000
1819,1,143676,143676.0000
1698,1,141948,141948.0000
4851,1,141648,141648.0000
5952,1,141240,141240.0000
5572,1,140880,140880.0000
3460,1,140688,140688.0000
10812,1,140688,140688.0000
8041,1,140400,140400.0000
7733,1,140064,140064.0000
9656,1,139536,139536.0000
6922,1,139488,139488.0000
10134,1,136368,136368.0000
2622,1,136344,136344.0000
4503,1,135360,135360.0000
8316,1,134784,134784.0000
9790,1,133968,133968.0000
3907,1,133848,133848.0000
10493,1,133800,133800.0000
10911,1,131292,131292.0000
3143,1,130896,130896.0000
7594,1,130464,130464.0000
11362,1,129408,129408.0000
1242,1,128544,128544.0000
8026,1,128268,128268.0000
6699,1,127200,127200.0000
9188,1,127080,127080.0000
9828,1,126600,126600.0000
1389,1,125472,125472.0000
1407,1,125472,125472.0000
8899,1,125340,125340.0000
6856,1,124344,124344.0000
290,1,123696,123696.0000
5794,1,123600,123600.0000
10411,1,123408,123408.0000
1480,1,123300,123300.0000
3112,1,123216,123216.0000
9201,1,122472,122472.0000
10105,1,121896,121896.0000
9403,1,120888,120888.0000
11069,1,119136,119136.0000
5269,1,117420,117420.0000
4894,1,117024,117024.0000
9494,1,116832,116832.0000
6686,1,116496,116496.0000
9730,1,116040,116040.0000
10738,1,115992,115992.0000
10963,1,115812,115812.0000
9731,1,113796,113796.0000
10884,1,113544,113544.0000
10243,1,113436,113436.0000
303,1,112752,112752.0000
2762,1,111384,111384.0000
38,1,110736,110736.0000
7437,1,110736,110736.0000
6434,1,110136,110136.0000
5001,1,110112,110112.0000
226,1,109344,109344.0000
993,1,108720,108720.0000
11111,1,108144,108144.0000
4727,1,107640,107640.0000
3942,1,107352,107352.0000
4660,1,106944,106944.0000
4052,1,106128,106128.0000
1843,1,105804,105804.0000
6495,1,104964,104964.0000
173,1,104808,104808.0000
9583,1,104712,104712.0000
9591,1,104712,104712.0000
97,1,102876,102876.0000
675,1,102240,102240.0000
2106,1,101520,101520.0000
344,1,100980,100980.0000
6649,1,100260,100260.0000
4342,1,100128,100128.0000
1447,1,100080,100080.0000
9377,1,99936,99936.0000
7180,1,99744,99744.0000
2343,1,99336,99336.0000
8114,1,99300,99300.0000
5698,1,99216,99216.0000
4907,1,98832,98832.0000
5650,1,98592,98592.0000
11079,1,98304,98304.0000
1012,1,98184,98184.0000
8169,1,97980,97980.0000
9833,1,97632,97632.0000
7907,1,97392,97392.0000
4414,1,97224,97224.0000
4715,1,97176,97176.0000
3916,1,96984,96984.0000
6985,1,96768,96768.0000
9814,1,96168,96168.0000
2419,1,95808,95808.0000
6701,1,95400,95400.0000
7674,1,94488,94488.0000
4473,1,93960,93960.0000
2705,1,93888,93888.0000
2720,1,93888,93888.0000
8039,1,93600,93600.0000
8523,1,93036,93036.0000
2227,1,92976,92976.0000
2116,1,92400,92400.0000
2694,1,91632,91632.0000
10049,1,91632,91632.0000
7844,1,91584,91584.0000
309,1,91248,91248.0000
7485,1,91200,91200.0000
544,1,91152,91152.0000
5317,1,90180,90180.0000
4361,1,90156,90156.0000
11138,1,89880,89880.0000
2580,1,89340,89340.0000
9928,1,89340,89340.0000
11231,1,89280,89280.0000
8321,1,89040,89040.0000
10351,1,88704,88704.0000
2988,1,88608,88608.0000
132,1,88440,88440.0000
8772,1,88272,88272.0000
9673,1,88200,88200.0000
8261,1,87840,87840.0000
4427,1,87816,87816.0000
4631,1,87528,87528.0000
6265,1,87360,87360.0000
6273,1,87360,87360.0000
854,1,87216,87216.0000
10361,1,86880,86880.0000
9236,1,86616,86616.0000
2062,1,86184,86184.0000
4467,1,86184,86184.0000
9422,1,86184,86184.0000
8492,1,85860,85860.0000
8680,1,85716,85716.0000
6289,1,85632,85632.0000
440,1,84288,84288.0000
4033,1,84288,84288.0000
7926,1,84120,84120.0000
2064,1,83628,83628.0000
9424,1,83628,83628.0000
9235,1,83280,83280.0000
5622,1,83016,83016.0000
3050,1,82896,82896.0000
9208,1,82128,82128.0000
4533,1,81144,81144.0000
2,1,80952,80952.0000
7401,1,80952,80952.0000
8173,1,80340,80340.0000
6353,1,79920,79920.0000
5196,1,79824,79824.0000
4259,1,79632,79632.0000
5270,1,79608,79608.0000
7890,1,79344,79344.0000
1603,1,78936,78936.0000
5944,1,78720,78720.0000
5445,1,78696,78696.0000
2165,1,78600,78600.0000
10068,1,77808,77808.0000
8027,1,77640,77640.0000
7745,1,77544,77544.0000
3230,1,77184,77184.0000
6510,1,76992,76992.0000
718,1,76944,76944.0000
8564,1,76680,76680.0000
9640,1,76416,76416.0000
3747,1,76380,76380.0000
8919,1,76104,76104.0000
4863,1,76080,76080.0000
3862,1,74916,74916.0000
1270,1,74772,74772.0000
8129,1,74736,74736.0000
8519,1,74688,74688.0000
8784,1,74352,74352.0000
7136,1,74124,74124.0000
4415,1,74040,74040.0000
4423,1,73836,73836.0000
7262,1,73260,73260.0000
789,1,73056,73056.0000
2247,1,72504,72504.0000
7859,1,72120,72120.0000
3403,1,71820,71820.0000
2143,1,71460,71460.0000
7965,1,71460,71460.0000
1256,1,71064,71064.0000
9024,1,70656,70656.0000
2725,1,69624,69624.0000
9159,1,69600,69600.0000
11065,1,69360,69360.0000
10762,1,68832,68832.0000
3448,1,68664,68664.0000
3754,1,68544,68544.0000
5358,1,68340,68340.0000
3249,1,68124,68124.0000
7857,1,68112,68112.0000
8688,1,67980,67980.0000
6138,1,67608,67608.0000
3455,1,67464,67464.0000
10807,1,67464,67464.0000
11271,1,67320,67320.0000
314,1,66840,66840.0000
4616,1,66696,66696.0000
2753,1,66432,66432.0000
5891,1,65184,65184.0000
6706,1,64860,64860.0000
4585,1,64656,64656.0000
1638,1,64224,64224.0000
3953,1,63576,63576.0000
7190,1,63360,63360.0000
7454,1,63312,63312.0000
3804,1,63252,63252.0000
2153,1,61560,61560.0000
4550,1,61320,61320.0000
5991,1,61056,61056.0000
10440,1,60000,60000.0000
6148,1,59760,59760.0000
9631,1,59448,59448.0000
4803,1,59136,59136.0000
5180,1,58764,58764.0000
10905,1,57120,57120.0000
5133,1,57060,57060.0000
8092,1,56100,56100.0000
1928,1,55632,55632.0000
7445,1,55368,55368.0000
10436,1,54396,54396.0000
11359,1,54024,54024.0000
2187,1,53472,53472.0000
5118,1,53232,53232.0000
825,1,53076,53076.0000
11265,1,52788,52788.0000
1284,1,52512,52512.0000
9153,1,52236,52236.0000
9337,1,52128,52128.0000
7753,1,51696,51696.0000
4337,1,51408,51408.0000
1083,1,50976,50976.0000
2824,1,50460,50460.0000
9031,1,50112,50112.0000
7181,1,49872,49872.0000
7156,1,49488,49488.0000
2352,1,49440,49440.0000
6902,1,49320,49320.0000
7274,1,49044,49044.0000
2994,1,48744,48744.0000
7133,1,48672,48672.0000
816,1,48624,48624.0000
2334,1,48312,48312.0000
11027,1,48096,48096.0000
8625,1,47304,47304.0000
7123,1,47016,47016.0000
2322,1,46320,46320.0000
9548,1,46176,46176.0000
10788,1,45768,45768.0000
10789,1,45768,45768.0000
10652,1,45720,45720.0000
7721,1,45456,45456.0000
1375,1,45336,45336.0000
8972,1,45024,45024.0000
1906,1,44952,44952.0000
11141,1,44940,44940.0000
2073,1,44640,44640.0000
9433,1,44640,44640.0000
5574,1,44628,44628.0000
5593,1,44376,44376.0000
10215,1,44304,44304.0000
3489,1,44088,44088.0000
1776,1,43200,43200.0000
6472,1,43164,43164.0000
7957,1,42900,42900.0000
8505,1,42840,42840.0000
349,1,42816,42816.0000
7636,1,42384,42384.0000
4268,1,41988,41988.0000
7546,1,41952,41952.0000
9307,1,41904,41904.0000
4099,1,41856,41856.0000
2982,1,41256,41256.0000
3390,1,40632,40632.0000
9263,1,39576,39576.0000
9265,1,39576,39576.0000
11327,1,39168,39168.0000
3229,1,39024,39024.0000
2018,1,38520,38520.0000
6505,1,38496,38496.0000
9034,1,38148,38148.0000
1869,1,37944,37944.0000
6738,1,37908,37908.0000
10257,1,37812,37812.0000
6425,1,36684,36684.0000
9472,1,36396,36396.0000
9897,1,36168,36168.0000
1244,1,35904,35904.0000
8038,1,35856,35856.0000
6440,1,34572,34572.0000
8776,1,33984,33984.0000
4626,1,33348,33348.0000
8742,1,33144,33144.0000
5541,1,32640,32640.0000
7607,1,31728,31728.0000
9677,1,31620,31620.0000
10345,1,31260,31260.0000
2962,1,31248,31248.0000
5774,1,31176,31176.0000
10799,1,31140,31140.0000
25,1,30276,30276.0000
7424,1,30276,30276.0000
1766,1,30060,30060.0000
3161,1,30012,30012.0000
8159,1,29784,29784.0000
6030,1,28248,28248.0000
7765,1,27984,27984.0000
176,1,27456,27456.0000
6097,1,26208,26208.0000
6930,1,25944,25944.0000
2986,1,24792,24792.0000
2486,1,24516,24516.0000
813,1,24312,24312.0000
10711,1,24180,24180.0000
3674,1,23628,23628.0000
1329,1,23520,23520.0000
10445,1,23412,23412.0000
2142,1,23328,23328.0000
9242,1,23184,23184.0000
3834,1,23052,23052.0000
6688,1,22968,22968.0000
2134,1,22932,22932.0000
5164,1,22356,22356.0000
938,1,22260,22260.0000
10148,1,22104,22104.0000
10364,1,21924,21924.0000
7861,1,21852,21852.0000
4825,1,21396,21396.0000
8475,1,21072,21072.0000
7819,1,20832,20832.0000
5126,1,20352,20352.0000
4580,1,20220,20220.0000
2268,1,20196,20196.0000
3329,1,19248,19248.0000
10001,1,19044,19044.0000
10954,1,18720,18720.0000
3752,1,18564,18564.0000
9513,1,18324,18324.0000
2413,1,17952,17952.0000
6363,1,17508,17508.0000
6792,1,17184,17184.0000
9140,1,16032,16032.0000
3064,1,15420,15420.0000
4476,1,15192,15192.0000
5215,1,14628,14628.0000
3637,1,14028,14028.0000
7559,1,12792,12792.0000
666,1,12540,12540.0000
6040,1,11736,11736.0000
5033,1,11400,11400.0000
6453,1,10944,10944.0000
8268,1,8616,8616.0000
8330,1,7656,7656.0000
6061,1,5148,5148.0000
3354,1,4980,4980.0000
